Text,Code,Label,Rank,Relevance
Comments,No categories found,,,
"Have not even watched all of it and I agree completely. Women have forgotten their real strengths, strengths that men do not have. That is the saddest part.",No categories found,,,
"I am a woman in the military. I'm a nurse in the Air Force. It's a non combat roll. Even if women can meet the PT standard, I still don't think women should be in combat rolls. It's more about their squad mates. Men in those fields would be more affected by a woman on their team being injured than even their best friend. Those men tend to be traditionally masculine and would be more affected by a woman being injured than a buddy. It would affect morale and performance.",11001000,politics - defence,1,0.5450394
"Ahoy, Crowderites!!! And I definitely agree that women should not be in combat!!",No categories found,,,
"Agreed! As a woman I know men are stronger than women. Women have periods , cramps every month , and hormones … ouch ! I’m a woman but it’s true .!",No categories found,,,
"Men engage in combat, hunting, survival. Women tend to the children and the homestead.

Prior to our “modern world” every other civilization understood this followed their instincts. If the women hunted the group would starve",No categories found,,,
my sister is 11 years older than me and was on the army for 12 years and I'm just a regular guy and she could never beat me in anything much less combat and she was in before they lowered the standards,14024000,social issue - people,1,0.075208314
"It's all fun and games til it gets physical. Can women be great shots with their weapon? Absolutely! But combat is far more than being a good shot. All those women in superhero movies throwing men around... It's fiction for a reason. No 115 pound woman is going to throw around a 300 pound man. She would just bounce off of him. That's the facts. There is a reason for woman's tees at the gold course, women's PT test has (or at least had when I was in the Army) push-ups on their knees, etc. Finally, if a woman is captured in a war or military op, she is going to be raped. I'm a married man and love my wife. I also have a daughter. I am not anti-woman, just for common sense and protecting the women in my life.",11001000,politics - defence,1,0.5563138
"the red hair lady when she say's ""ok"" drives me crazy ahhhhhh",14024000,social issue - people,1,0.08047139
Told my daughter when she started to express interest in the military that to join (with my blessing) she would have to be strong enough to lift me and carry me the length of a football field. She lost interest very quickly after that.,11001000,politics - defence,1,0.101543136
I was on active duty in the Infantry when they started this experiment. I have said and still say the same thing except there is no changing my mind about it. as if the battlefield doesn't come with enough stress and unpredictability as it is. feelings are more important.,No categories found,,,
