Text,Code,Label,Rank,Relevance
"Have not even watched all of it and I agree completely. Women have forgotten their real strengths, strengths that men do not have. That is the saddest part.",No categories found,,,
"I am a woman in the military. I'm a nurse in the Air Force. It's a non combat roll. Even if women can meet the PT standard, I still don't think women should be in combat rolls. It's more about their squad mates. Men in those fields would be more affected by a woman on their team being injured than even their best friend. Those men tend to be traditionally masculine and would be more affected by a woman being injured than a buddy. It would affect morale and performance.",MedicalHealth,Medical Health,1,4
"Ahoy, Crowderites!!! And I definitely agree that women should not be in combat!!",No categories found,,,
"Agreed! As a woman I know men are stronger than women. Women have periods , cramps every month , and hormones … ouch ! I’m a woman but it’s true .!",No categories found,,,
"Men engage in combat, hunting, survival. Women tend to the children and the homestead.

Prior to our “modern world” every other civilization understood this followed their instincts. If the women hunted the group would starve",No categories found,,,
my sister is 11 years older than me and was on the army for 12 years and I'm just a regular guy and she could never beat me in anything much less combat and she was in before they lowered the standards,No categories found,,,
"It's all fun and games til it gets physical. Can women be great shots with their weapon? Absolutely! But combat is far more than being a good shot. All those women in superhero movies throwing men around... It's fiction for a reason. No 115 pound woman is going to throw around a 300 pound man. She would just bounce off of him. That's the facts. There is a reason for woman's tees at the gold course, women's PT test has (or at least had when I was in the Army) push-ups on their knees, etc. Finally, if a woman is captured in a war or military op, she is going to be raped. I'm a married man and love my wife. I also have a daughter. I am not anti-woman, just for common sense and protecting the women in my life.",NewsAndPolitics>Crime,News and Politics>Crime,1,1
"the red hair lady when she say's ""ok"" drives me crazy ahhhhhh",No categories found,,,
Told my daughter when she started to express interest in the military that to join (with my blessing) she would have to be strong enough to lift me and carry me the length of a football field. She lost interest very quickly after that.,Sports>Soccer,Sports>Soccer,1,1
I was on active duty in the Infantry when they started this experiment. I have said and still say the same thing except there is no changing my mind about it. as if the battlefield doesn't come with enough stress and unpredictability as it is. feelings are more important.,No categories found,,,
Hate to bring this up but not only would a woman in extreme danger in a combat scenario but they would almost be guaranteed to be raped if captured.,NewsAndPolitics>Crime,News and Politics>Crime,1,1
"Retired Army Officer, They where lowering the standards all the way back in the 90s for women. Airborne school for example use to be a serious gut check. But when I went through in 1993 it was a joke.. And the women where always in the front of the run group so we didn't drop them from the formation. The most worthless thing on the battlefield a pregnant female. Not deployable for 9 plus months.. great for readiness.",Education,Education,1,1
Does combat include jello/mud wrestling?,Sports>Wrestling,Sports>Wrestling,1,1
"One standard, change my mind",No categories found,,,
"Lower standards are ok for every role other than combat. This isn't a game, we are looking for killers plain and simple.",No categories found,,,
"All us Gen X girls were taught to bring home the bacon, fry it up in a pan…and wear shoulder pads in our clothes. Regardless, there’s no fkn way I could carry a wounded man to safety…and he would know it. It’s not fair to ask our soldiers to put their lives on the line without giving them a fighting chance to survive. Women are not physically strong enough to be in the foxhole with the guys. It’s not right. Thank you for this. Good God everyone has lost their minds",NewsAndPolitics>Crime,News and Politics>Crime,1,1
"""ok. ok. ok. ok. ok. ok. ok. ok.""... Jesus, does she know any other words?",No categories found,,,
"I was infantry. I don't care if the PT standards are the same and some butch chick can pass them. A woman in a combat unit adds nothing to the combat readiness of that unit, that some other guy couldn't. She does however bring a great deal of negatives, and it doesn't matter if you don't like or agree. She is a distraction and a detriment to the unit cohesiveness. The job of combat arms is to close with and destroy the enemy by fire and maneuver. Not to coddle your feelings, or make sure some random woman can become a general easier by allowing her combat experience. Troop welfare has always been secondary to mission accomplishment. Get over it.",No categories found,,,
"It was my dream to play for the Yankees,doesn’t mean the Yankees should lower their standards to let me join😂",No categories found,,,
"lots of ""I think"" and ""I Feel"" but no actual argument. Sorry kids, the worlds not nice",No categories found,,,
Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay.,No categories found,,,
Kool-Aid haired black girl was the worst of them all.,No categories found,,,
"I can't hear ""ok"" again",No categories found,,,
"I'm a woman, I am physically fit. I cannot manage one five gallon bucket of paint up a flight of stairs without lifting it to each step and then re-setting to struggle it to the next one. My husband can lift the same heavy bucket with one finger and walk straight up the deck stairs. In combat I'd be a liability, no matter how much I worked out. Fighter pilot yes, ground forces, hell no!",Travel>TravelType,Travel>Travel Type,1,1
"""I feel like"" facts don't give a shit about how you feel",No categories found,,,
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",Home&Garden,Home and Garden,1,2
They have definitely succeeded in dumbing down the younger generations. They are so uninformed and ignorant to reality. It's all about their feelings.,No categories found,,,
"Ok, so Shirley from What’s Happening with the red hair is hearing Crowder But not listening! She is already getting emotional which proves the biggest difference between men and women! And the men she is referring to that are “emotional”are girly boys!!! And to get upset about calling our military BEASTS, come on!!! That is a good thing!",No categories found,,,
"I want to bring another point to the argument. I’m a woman who served in Iraq (not in a combat role) and worked with a man who was in a convoy with a female. The enemy found out she was there, and targeted her. The objective was to demoralize the men and unfortunately, it worked. She was taken out and they were weaker because of it. My best friend (female) who served in Iraq went to dinner downtown and someone attempted to kidnap her. She only got away because her driver was special forces, knew the roads and was trained to handle this particular situation. In certain trainings they simulate torture and often separate women, but not fully out of earshot of the men, so they can hear what’s happening and break their spirits. I would argue it’s not even enough to match the men physically because women become targets in multiple ways. I’m not sure what that would look like for a female physically, but there is a mental aspect in war that is put upon men that just isn’t worth it in my opinion.",NewsAndPolitics>Crime,News and Politics>Crime,1,2
"Lets get ready to Rumble!!!love this. I agree with you, Steven 100%",No categories found,,,
"So it breaks down to the same argument as always... Steven has stats and facts, people who disagree have feelings.",No categories found,,,
There is a reason that back in the day only men were in combat roles. We have pussified our country and military in the name of equality and its pathetic we go along with it.,No categories found,,,
"I enjoy Crowders ""Change My Mind"" segments. One of my favorite things.",No categories found,,,
❤️change my mind,No categories found,,,
Woman should be in combat because it makes for great videos. I want to see the red headed black chick try to stop a George Floyd. Welcome to the 2022 clown world.,No categories found,,,
Ahoy!!! Ok let's see how many libs complain about this lol.,No categories found,,,
"Crowder talks about military and police, but firefighters are another issue. They are required to run up stairs with lots of gear on, break down doors, pick up, and carry people.",NewsAndPolitics>Law,News and Politics>Law,1,1
